company_id,move_id,move_type,name,ref,payment_reference,src_state,aeat_send_error
1,14392,in_invoice,S/FRA/2023/0743,1TSN230900356622,"",sent,""
1,14395,in_invoice,S/FRA/2023/0786,05-2023,"",not_sent,3000 | Factura duplicada
1,14406,in_invoice,S/FRA/2023/0776,11,"",not_sent,3000 | Factura duplicada
1,20080,in_invoice,S/FRA/2024/0558,3.899/F,"",sent,""
1,14410,in_invoice,S/FRA/2023/0795,230235,NEXT,not_sent,3000 | Factura duplicada
1,23938,in_invoice,S/FRA/2025/0272,A252031902,"",sent,""
1,14412,in_invoice,S/FRA/2023/0782,20230538,"",not_sent,3000 | Factura duplicada
1,14413,in_invoice,S/FRA/2023/0787,24,"",not_sent,3000 | Factura duplicada
1,14414,in_invoice,S/FRA/2023/0788,2023-291,"",not_sent,3000 | Factura duplicada
1,14432,in_invoice,S/FRA/2023/0801,47/2023,"",not_sent,3000 | Factura duplicada
1,14433,in_invoice,S/FRA/2023/0777,A163548,"",not_sent,3000 | Factura duplicada
1,14434,in_invoice,S/FRA/2023/0778,4200138563,"",not_sent,3000 | Factura duplicada
1,20397,in_invoice,S/FRA/2024/0659,000002 TB 011797,"",sent,""
1,14447,in_invoice,S/FRA/2023/0792,FV230834/71,NEXT,not_sent,3000 | Factura duplicada
1,14449,in_invoice,S/FRA/2023/0793,3796,NEXT,not_sent,3000 | Factura duplicada
1,14451,in_invoice,S/FRA/2023/0805,154-2023,"",not_sent,3000 | Factura duplicada
1,14452,in_invoice,S/FRA/2023/0797,9/2023,"",not_sent,3000 | Factura duplicada
